word,definition
a/kin,[Betonung]
kule,Farbe
mute,"viel, viele, sehr"
sewi,"hoch, heilig"
akesi,"Reptil, Lurch"
kulupu,Gruppe
nanpa,Nummer
sijelo,Körper
ala,"nein, nicht(s)"
kute,"hören, Ohr"
nasa,seltsam
sike,Kreis
alasa,"jagen, suchen"
la,[Kontext]
nasin,"Weg, Pfad"
sin,"neu, nochmal"
ale,"alle, alles"
lape,"Schlaf, Ruhe"
nena,"Erhebung, Nase"
sina,"du, Sie, ihr"
anpa,"tief, unten"
laso,"blau, grün"
ni,"dies, diese, das"
sinpin,"Front, Wand"
ante,anders
lawa,"Kopf, herrschen"
nimi,"Name, Wort"
sitelen,"Bild, Text"
anu,oder
len,Kleidung
noka,"Bein, Fuß"
sona,wissen
awen,bleiben
lete,kalt
o,[Wunsch/Befehl]
soweli,(Land-)Tier
e,[d. Objekt]
li,[Verb]
olin,lieben
suli,"groß, wichtig"
en,[und]
lili,klein
ona,er/sie/es/sie
suno,"Sonne, Licht"
esun,"Markt, Handel"
linja,Linie
open,"beginnen, öffnen"
supa,Oberfläche
ijo,Ding
lipu,"flach, Seite, Buch"
pakala,kaputt
suwi,"süß, niedlich"
ike,schlecht
loje,rot
pali,"machen, arbeiten"
tan,"von, wegen"
ilo,Werkzeug
lon,in/an; wahr
palisa,"Stock, Stange"
taso,aber; nur
insa,innen
luka,"Hand, Arm"
pan,"Brot, Getreide"
tawa,gehen; zu
jaki,"eklig, Abfall"
lukin,"sehen, Auge"
pana,geben
telo,Wasser
jan,Person
lupa,"Loch; Tür, Fenster"
pi,[Umgruppierer]
tenpo,Zeit
jelo,gelb
ma,Land
pilin,"Herz, fühlen"
toki,sprechen
jo,haben
mama,"Eltern, Elternteil"
pimeja,"dunkel, schwarz"
tomo,"Haus, Zimmer"
kala,Fisch
mani,Geld
pini,"Ende, aufhören"
tu,zwei
kalama,Geräusch
meli,weiblich
pipi,"Käfer, Insekt"
unpa,Sex
kama,kommen
mi,"ich, wir"
poka,"Seite, Nähe"
uta,Mund
kasi,Pflanze
mije,männlich
poki,"Box, Behälter"
utala,Kampf
ken,können
moku,"essen, Nahrung"
pona,"gut, einfach"
walo,"weiß, hell"
kepeken,benutzend
moli,"tot, töten"
pu,(Toki-Pona-Buch)
wan,eins
kili,Frucht
monsi,hinten
sama,gleich; wie
waso,Vogel
kiwen,"hart, Stein"
mu,[Tiergeräusch]
seli,"heiß, Feuer"
wawa,"stark, Energie"
ko,"Paste, Pulver"
mun,"Mond, Stern"
selo,"Schicht, Grenze"
weka,"weg, fort"
kon,"Luft, Essenz"
musi,unterhaltsam
seme,[was]
wile,"wollen, brauchen"
